005-info-raw-a,006-info-highpass-a,007-info-hann-a,010-carrier-raw-a,020-carrier-highpass-a,030-carrier-hann-a,042-info-fft-real-a,043-info-fft-imag-a,045-carrier-fft-real-a,047-carrier-fft-imag-a,048-info-fft-real-sq-a,048.5-info-fft-imag-sq-a,049-carrier-fft-real-sq-a,049.5-carrier-fft-imag-sq-a,050-carrier-rfft-added-a,055-info-rfft-added-a,060-carrier-rsqrt-a,070-info-sqrt-a,080-amp-factor-roots-multiplied-a,100-carrier-fft-real-x-reduced-amp-factors-a,150-carrier-fft-imag-x-reduced-amp-factors-a,005-info-raw-b,006-info-highpass-b,007-info-hann-b,010-carrier-raw-b,020-carrier-highpass-b,030-carrier-hann-b,042-info-fft-real-b,043-info-fft-imag-b,045-carrier-fft-real-b,047-carrier-fft-imag-b,048-info-fft-real-sq-b,048.5-info-fft-imag-sq-b,049-carrier-fft-real-sq-b,049.5-carrier-fft-imag-sq-b,050-carrier-rfft-added-b,055-info-rfft-added-b,060-carrier-rsqrt-b,070-info-sqrt-b,080-amp-factor-roots-multiplied-b,090-amp-factor-roots-reduced,100-carrier-fft-real-x-reduced-amp-factors-b,150-carrier-fft-imag-x-reduced-amp-factors-b
0.162404,0.032462,0.000394,-0.023488,-0.135828,-0.001650,1.891002,0.357374,-0.243522,0.001232,3.575890,0.127716,0.059303,0.000002,0.059304,3.703606,4.106354,1.924476,7.902577,-0.001251,0.000006,-0.013947,-0.011223,-0.000137,-0.049744,-0.059937,-0.000730,2.255847,3.517452,-0.173513,-0.356207,5.088848,12.372469,0.030107,0.126883,0.156990,17.461317,2.523854,4.178674,10.546362,0.005137,0.000206,0.000870
0.160276,0.027742,0.000356,-0.019269,-0.138857,-0.001783,-1.841426,0.343676,0.106786,0.019937,3.390851,0.118113,0.011403,0.000397,0.011801,3.508965,9.205494,1.873223,17.243944,0.001197,0.000223,-0.015411,-0.012675,-0.000163,-0.044830,-0.054970,-0.000707,-5.131319,0.891103,0.094931,0.091291,26.330435,0.794065,0.009012,0.008334,0.017346,27.124500,7.592770,5.208119,39.544048,0.011209,0.000232,0.000214
0.159462,0.025468,0.000345,-0.027702,-0.135325,-0.001831,1.642000,-1.527128,0.067212,-0.072310,2.696163,2.332120,0.004517,0.005229,0.009746,5.028283,10.129358,2.242383,22.713903,0.000992,-0.001068,-0.021729,-0.018975,-0.000257,-0.046356,-0.056445,-0.000765,5.479449,-3.711054,0.012239,0.013215,30.024364,13.771922,0.000150,0.000175,0.000324,43.796288,55.518909,6.617877,367.417297,0.014764,0.000036,0.000042
0.169952,0.026316,0.000375,-0.033960,-0.138978,-0.001981,-0.739461,1.415828,-0.083578,0.197985,0.546802,2.004568,0.006985,0.039198,0.046183,2.551370,4.653274,1.597301,7.432677,-0.000404,0.000957,-0.029205,-0.026428,-0.000377,-0.052734,-0.062767,-0.000896,-1.867097,2.074500,-0.083962,-0.015445,3.486053,4.303551,0.007050,0.000239,0.007288,7.789603,11.713646,2.790986,32.692623,0.004831,0.000150,0.000005
0.183925,0.025294,0.000379,-0.032564,-0.148161,-0.002220,0.040340,-1.346188,-0.022144,-0.160299,0.001627,1.812221,0.000490,0.025696,0.026186,1.813849,6.179646,1.346792,8.322698,-0.000120,-0.000867,-0.028595,-0.025790,-0.000387,-0.053925,-0.063898,-0.000959,0.241079,-2.099973,0.069008,0.000445,0.058119,4.409886,0.004762,0.000000,0.004762,4.468006,14.490803,2.113766,30.630161,0.005410,0.000095,0.000000
0.192692,0.018816,0.000296,-0.030301,-0.143275,-0.002256,-0.292764,1.064523,0.064153,0.047971,0.085711,1.133210,0.004116,0.002301,0.006417,1.218921,12.483651,1.104047,13.782543,0.000575,0.000430,-0.024231,-0.021401,-0.000337,-0.047394,-0.057311,-0.000904,-0.289078,2.746497,-0.090368,-0.007985,0.083566,7.543247,0.008166,0.000064,0.008230,7.626813,11.022947,2.761668,30.441727,0.008959,0.000162,0.000001
0.198913,0.008804,0.000145,-0.029208,-0.123523,-0.002040,0.135636,-1.366985,-0.000808,-0.048618,0.018397,1.868648,0.000001,0.002364,0.002364,1.887045,20.565876,1.373698,28.251295,-0.000015,-0.000893,-0.023010,-0.020158,-0.000333,-0.044922,-0.054787,-0.000906,-0.083633,-2.291860,0.138439,0.058784,0.006995,5.252623,0.019165,0.003456,0.022621,5.259617,6.648807,2.293386,15.248277,0.018363,0.000190,0.000034
0.209256,-0.000839,-0.000015,-0.025073,-0.110239,-0.001908,-0.011935,1.398226,-0.057511,0.023760,0.000142,1.955036,0.003307,0.000565,0.003872,1.955179,16.070604,1.398277,22.471157,-0.000840,0.000347,-0.021393,-0.018520,-0.000321,-0.051453,-0.061264,-0.001062,0.476678,2.092937,-0.058299,-0.064398,0.227222,4.380386,0.003399,0.004147,0.007546,4.607608,11.511870,2.146534,24.710621,0.014606,0.000055,0.000067
0.223313,-0.007553,-0.000137,-0.020720,-0.113428,-0.002054,0.141811,-1.062495,0.012477,0.059307,0.020110,1.128896,0.000156,0.003517,0.003673,1.149006,16.500275,1.071917,17.686924,0.000143,0.000682,-0.017151,-0.014260,-0.000259,-0.053558,-0.063311,-0.001149,0.218651,-1.265051,0.031020,0.042605,0.047808,1.600353,0.000962,0.001815,0.002777,1.648161,18.974924,1.283807,24.360146,0.011497,0.000015,0.000029
0.235128,-0.010461,-0.000198,-0.021318,-0.119459,-0.002264,0.422906,1.072518,0.051244,-0.073211,0.178849,1.150295,0.002626,0.005360,0.007986,1.329144,11.190219,1.152885,12.901036,0.000430,-0.000614,-0.014526,-0.011621,-0.000221,-0.045319,-0.055016,-0.001044,0.239154,0.872059,-0.070872,-0.030780,0.057195,0.760487,0.005023,0.000947,0.005970,0.817682,12.942007,0.904257,11.702907,0.008386,0.000038,0.000007
